,logFC,AveExpr,t,P.Value,adj.P.Val,B
LACTB2,-0.863719001,7.367633743,-6.692998907,6.21E-08,1.06E-05,8.210790867
RPS29,-1.102253334,10.41914907,-6.685951861,6.35E-08,1.08E-05,8.189457317
EEF1A2,2.619406951,10.92599248,6.685104959,6.37E-08,1.08E-05,8.186893298
NDUFB9,-0.789231636,11.83282719,-6.68019698,6.47E-08,1.09E-05,8.172033469
SCN7A,-1.157524747,7.659719475,-6.678200818,6.51E-08,1.10E-05,8.165989329
STK11IP,-1.448677367,4.195267558,-6.674429027,6.59E-08,1.11E-05,8.154568189
MIR22HG,-0.896130165,7.343320868,-6.67168734,6.64E-08,1.11E-05,8.146265752
RPS3,-0.865420645,10.653403,-6.670568457,6.67E-08,1.11E-05,8.142877407
MRPS24,-0.824181666,9.120467775,-6.668952425,6.70E-08,1.11E-05,8.137983407
RPL29,-0.882921072,11.59875075,-6.659271433,6.91E-08,1.14E-05,8.108662444
RPL5P14,-0.757137725,11.88866842,-6.657967146,6.94E-08,1.14E-05,8.104711741
COPS9,-0.936710233,9.027798918,-6.649536139,7.12E-08,1.16E-05,8.079171867
NDUFA1,-0.784274038,11.93988422,-6.648579632,7.15E-08,1.16E-05,8.076274097
IRAK3,-0.830344032,9.002832215,-6.642338906,7.29E-08,1.18E-05,8.057366407
ALDH1A1,-1.039509733,8.468188592,-6.64081927,7.32E-08,1.19E-05,8.052762012
CHD2,-0.729755406,7.468442227,-6.639379706,7.36E-08,1.19E-05,8.048400114
DDTL,-0.779742757,9.598268003,-6.632468317,7.52E-08,1.21E-05,8.027456991
SMIM4,-0.894042817,7.945691148,-6.631666115,7.54E-08,1.21E-05,8.025025968
PFDN5,-1.102373656,7.108768211,-6.629326961,7.59E-08,1.21E-05,8.017937114
CTSS,-0.93005297,8.002817747,-6.627386018,7.64E-08,1.22E-05,8.012054827
FITM1,-0.912607183,9.411665884,-6.623791627,7.73E-08,1.22E-05,8.001161026
ATP5MC3,-0.791458458,11.54159843,-6.618849866,7.85E-08,1.24E-05,7.986182548
TGFBR2,-0.756064453,11.35049492,-6.618191497,7.86E-08,1.24E-05,7.984186937
BDNF,2.783287181,6.621773755,6.607101619,8.14E-08,1.27E-05,7.950568539
GNA15,-1.2601729,4.65168831,-6.60456075,8.21E-08,1.28E-05,7.942865139
MYNN,-1.030618948,7.063000992,-6.601068859,8.30E-08,1.29E-05,7.932277895
EZR,-0.830230299,10.94848418,-6.597771502,8.39E-08,1.29E-05,7.922279901
TXN,-0.736802432,8.742654855,-6.588012515,8.65E-08,1.33E-05,7.892686246
AK6,-0.727667793,6.685577032,-6.579525023,8.88E-08,1.36E-05,7.866944481
FABP5,-0.763061629,9.770896321,-6.578370347,8.91E-08,1.36E-05,7.863442182
RPL32P13,-0.814897722,8.338054392,-6.57538461,9.00E-08,1.37E-05,7.854385707
NDUFB1,-0.822094827,11.03691846,-6.574046661,9.04E-08,1.37E-05,7.850327239
GATM,1.734289509,6.845403181,6.571999629,9.10E-08,1.37E-05,7.844117703
KLHL31,-0.85651832,13.15268141,-6.555554119,9.58E-08,1.44E-05,7.794223977
RPL24,-0.790290085,12.07086022,-6.548338417,9.80E-08,1.46E-05,7.772328314
RPH3AL,-1.337157041,3.869466248,-6.548295639,9.80E-08,1.46E-05,7.7721985
CREG1,-0.734530155,10.28778219,-6.544347608,9.92E-08,1.47E-05,7.760217363
RPS12,-0.871992641,11.42743395,-6.543975656,9.94E-08,1.47E-05,7.759088559
FASTKD3,-0.697663157,6.633674782,-6.543870665,9.94E-08,1.47E-05,7.758769931
RPL34,-0.79551279,11.50279937,-6.534774853,1.02E-07,1.50E-05,7.731163792
RPL14,-0.953201849,9.206093348,-6.532671727,1.03E-07,1.50E-05,7.724780179
ATP5MJ,-0.870114717,9.630949537,-6.527862043,1.05E-07,1.52E-05,7.710180594
FTL,-0.914440344,12.35993088,-6.526338064,1.05E-07,1.53E-05,7.705554401
RPS21,-0.867124799,10.39682065,-6.522299788,1.06E-07,1.54E-05,7.693295295
ALDOA,-0.915713112,13.32070564,-6.515028264,1.09E-07,1.57E-05,7.671219067
AK1,-0.661122297,9.535231763,-6.512576786,1.10E-07,1.58E-05,7.663775888
RPL9,-0.86820133,12.76282939,-6.509112278,1.11E-07,1.59E-05,7.653256485
SELENOK,-0.884605673,7.984034306,-6.493393448,1.17E-07,1.67E-05,7.605522237
GXYLT2,-1.057440436,7.646893869,-6.491292228,1.17E-07,1.67E-05,7.59914053
AJUBA,0.892700002,8.326120631,6.490835741,1.17E-07,1.67E-05,7.597754086
FLT1,-0.744539186,10.23701819,-6.488960153,1.18E-07,1.67E-05,7.59205746
MOB3B,-1.010357788,6.677471416,-6.485999817,1.19E-07,1.68E-05,7.583065873
SDHAF3,-0.935109372,6.257073108,-6.484632055,1.20E-07,1.69E-05,7.578911369
NCAM2,-1.125584631,6.191616657,-6.484201567,1.20E-07,1.69E-05,7.57760377
CD109,-1.003758336,9.584069918,-6.479573009,1.22E-07,1.70E-05,7.5635441
HAVCR2,-1.040664705,5.805072747,-6.474617881,1.24E-07,1.72E-05,7.548491444
