,logFC,AveExpr,t,P.Value,adj.P.Val,B
L3MBTL3,-0.521268138,4.707874583,-1.850081903,0.074880012,0.19567408,-4.602578291
TREX1,-0.486067206,4.474327087,-1.850047616,0.074885105,0.19567408,-4.602634217
N4BP2L1,-0.505698342,5.258511202,-1.850025706,0.07488836,0.19567408,-4.602669953
PXK,-0.464558169,6.511890054,-1.849923215,0.074903585,0.19567408,-4.602837119
PIGP,-0.612445983,6.344947014,-1.849876508,0.074910524,0.19567408,-4.602913297
TCAIM,-0.60051381,8.413630447,-1.849698361,0.074936997,0.19567408,-4.603203839
HS3ST3B1,-0.522505291,4.682816704,-1.849656241,0.074943257,0.19567408,-4.603272529
SNX5,-0.57661388,8.050280801,-1.84959895,0.074951773,0.19567408,-4.603365959
MYADM,-0.434718986,8.666549871,-1.849552124,0.074958734,0.19567408,-4.60344232
COL4A2-AS2,0.814582002,1.754491458,1.849454914,0.074973186,0.19567408,-4.603600842
SEC24B,-0.453395841,8.6665642,-1.849443291,0.074974914,0.19567408,-4.603619795
TRAK2,-0.532459904,11.55794112,-1.849294243,0.074997079,0.195696968,-4.603862835
ALDH1L2,-0.656845687,4.74308893,-1.849050642,0.075033316,0.195756562,-4.604260023
CAMLG,-0.579556392,6.836259409,-1.848796625,0.075071119,0.195812126,-4.604674151
FBXO40,-0.558505804,11.98232756,-1.848608082,0.075099188,0.195812126,-4.604981507
SYCE2,-0.599126994,3.194147917,-1.8485159,0.075112915,0.195812126,-4.605131771
ADAMTS6,-0.570879886,5.037248994,-1.848406445,0.075129217,0.195812126,-4.605310182
DHX38,-0.384135829,8.693389856,-1.848382745,0.075132747,0.195812126,-4.605348812
KIAA0586,-0.393808802,7.630405947,-1.848367427,0.075135029,0.195812126,-4.605373779
TIGD6,-0.535718008,4.624470211,-1.847662815,0.075240052,0.196015899,-4.606522083
PDHB,-0.656680714,10.11075549,-1.847321631,0.075290951,0.196088311,-4.607077989
HADHA,-0.610108261,11.8502708,-1.846570338,0.075403136,0.196282896,-4.608301821
UBA3,-0.613103806,9.096909941,-1.846555193,0.075405399,0.196282896,-4.608326488
TDRKH,-0.546455191,5.137512576,-1.846467823,0.075418455,0.196282896,-4.608468784
VOPP1,-0.527712348,7.817232954,-1.846395081,0.075429327,0.196282896,-4.608587253
DNAJC24,-0.599648696,7.073439052,-1.846330183,0.075439027,0.196282896,-4.608692944
SUGCT,-0.561570997,4.60496062,-1.846256668,0.075450017,0.196282896,-4.608812665
HOOK2,0.486746024,7.903576849,1.846135054,0.0754682,0.196295246,-4.609010708
AK4,-0.566440228,9.297704494,-1.845899718,0.075503396,0.196351837,-4.609393914
EIF1AD,-0.395143659,6.425512086,-1.845630165,0.075543728,0.196421759,-4.60983279
ZNF410,-0.46563632,7.162281444,-1.845375254,0.075581885,0.196486005,-4.610247781
TAF4,0.360029471,6.107795955,1.845181908,0.075610839,0.196526303,-4.610562515
SMC3,-0.487921682,8.624866962,-1.844975144,0.075641812,0.196571837,-4.610899064
ARHGAP33,0.826068867,3.861851798,1.844738604,0.075677258,0.196619849,-4.611284043
SASH1,-0.449027599,9.316887806,-1.844493537,0.075713998,0.196619849,-4.611682859
GARNL3,0.469349833,7.798548895,1.844480624,0.075715934,0.196619849,-4.611703873
PBX1,-0.552681901,9.431596136,-1.84440562,0.075727182,0.196619849,-4.611825923
ANKRD28,-0.505563595,8.332296263,-1.844378043,0.075731318,0.196619849,-4.611870797
RNF180,-0.470092319,7.454218632,-1.844313259,0.075741034,0.196619849,-4.611976213
SLC39A14,-0.57245748,10.63929614,-1.844144401,0.075766366,0.196650667,-4.612250964
UBL5,-0.680273736,8.728298917,-1.84395902,0.075794184,0.196687927,-4.612552579
DYNC2I2,-0.404360143,7.157515635,-1.843855908,0.075809661,0.196693154,-4.612720332
ACAP2,-0.532788213,8.407224035,-1.843747987,0.075825863,0.196700258,-4.6128959
ZNF438,-0.395287276,7.351788064,-1.84331212,0.075891327,0.196835131,-4.613604897
CCDC90B,-0.597446785,7.141499829,-1.84300597,0.075937338,0.196919509,-4.614102814
TNS3,-0.469067392,9.582870136,-1.842774049,0.07597221,0.196974975,-4.614479964
GMEB2,-0.391408389,5.97050295,-1.842593486,0.075999368,0.197010427,-4.614773569
NPEPPS,-0.471781435,9.038694499,-1.842398346,0.076028729,0.197051575,-4.615090854
ACTG1,-0.624910215,10.8400457,-1.842071939,0.076077861,0.197131105,-4.615621511
BIN3,-0.458231528,5.850149039,-1.84196725,0.076093626,0.197131105,-4.615791694
GRM1,0.733104403,7.125214047,1.841925636,0.076099893,0.197131105,-4.61585934
MMGT1,-0.678023512,8.210950534,-1.841774272,0.076122692,0.197155208,-4.616105381
MPZL3,-0.665453797,4.986049367,-1.841340463,0.076188067,0.197289552,-4.616810446
SNU13,-0.541091187,8.897576372,-1.840889131,0.076256133,0.197430818,-4.617543855
ANAPC11,-0.627419735,7.228282495,-1.840358585,0.076336213,0.197515985,-4.618405807
TTC12,0.555362545,5.833268544,1.84034974,0.076337549,0.197515985,-4.618420175
TYW3,-0.747708833,7.041069585,-1.840346158,0.07633809,0.197515985,-4.618425994
RAVER1,-0.432509071,6.081273281,-1.840312945,0.076343105,0.197515985,-4.618479946
ATPAF1,-0.679889424,10.32530246,-1.839918455,0.076402701,0.197608559,-4.619120718
RCN2,-0.720308791,7.745073809,-1.839605624,0.076449988,0.197620912,-4.619628776
ARL4A,-0.573053585,6.588717441,-1.839602072,0.076450525,0.197620912,-4.619634544
LRRC74A,0.886069784,1.527430918,1.839596994,0.076451293,0.197620912,-4.61964279
RPS6KA3,-0.587666542,9.182804865,-1.839181285,0.076514172,0.197640608,-4.620317822
BSDC1,-0.41216978,8.627175276,-1.839180731,0.076514256,0.197640608,-4.620318721
DNM2,-0.392672638,9.430700743,-1.83918063,0.076514271,0.197640608,-4.620318885
NDUFB7,-0.426946161,9.208506295,-1.839127497,0.076522311,0.197640608,-4.620405154
OLFML3,-0.790851491,7.367170711,-1.839099472,0.076526552,0.197640608,-4.620450657
SEMA4A,-0.526159114,3.415653554,-1.838781459,0.07657469,0.197729979,-4.620966951
SCAMP1,-0.665365199,8.665900745,-1.838451731,0.076624629,0.197823966,-4.621502191
ATL2,-0.510120341,7.887864181,-1.838332151,0.076642747,0.197835782,-4.621696284
HCG27,0.725694035,3.069889463,1.838216192,0.076660319,0.197846187,-4.621884491
ALDH1B1,-0.675839736,7.660302836,-1.837978177,0.0766964,0.197885926,-4.622270771
HPN,-0.568540727,3.616782439,-1.837935923,0.076702806,0.197885926,-4.622339341
TPM1,-0.46973204,15.42947263,-1.837256205,0.076805932,0.198083338,-4.623442239
CES4A,-0.978425177,4.535323534,-1.837213938,0.076812348,0.198083338,-4.623510809
CAMKMT,-0.548696065,4.140466708,-1.837163541,0.076819999,0.198083338,-4.623592568
ZNF511,-0.463892531,6.530732988,-1.837026115,0.076840867,0.198102183,-4.623815507
