"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IFI6",-0.314933168500972,8.05090919305338,-1.51527861321677,0.137920814787863,0.312455610166828,-5.42200480147397
"SECISBP2L",-0.275074623810051,4.59925595806263,-1.51495565902209,0.138002377866134,0.312537729080819,-5.42246827018277
"GBE1",-0.307099148452854,4.54483385022601,-1.51468257345074,0.138071376620459,0.312570827989005,-5.42286010469742
"KCTD7",-0.233194910111019,5.10047726701121,-1.51460185814552,0.138091775722255,0.312575968873119,-5.42297590640679
"NDUFS6",0.429334081244207,3.28891615734299,1.51420571412665,0.138191927827341,0.312741083549406,-5.42354417245596
"ASPHD2",-0.240862769201947,4.23432491306462,-1.51414578598708,0.138207083770103,0.312742478732937,-5.42363012753783
"DNASE2",-0.200297591544217,8.08582926936707,-1.5141040325641,0.138217644078772,0.312742478732937,-5.42369001279926
"CBX1",0.285931609503041,4.91280326647216,1.51405984755012,0.13822882009127,0.312742478732937,-5.42375338400351
"ZFAND3",-0.168154049523372,7.12008465684979,-1.5139910944204,0.138246211721861,0.312748041322945,-5.42385198813425
"HDGFL3",-0.163069880859959,8.41372507825383,-1.51392282484976,0.138263482766759,0.3127593442579,-5.42394989483697
"PTGES2",-0.253905754814317,6.23565278400953,-1.51370267316946,0.138319189185734,0.312860296808261,-5.42426559198927
"GPAT4",-0.401253175288316,3.92218127871551,-1.51350136658221,0.138370142840896,0.312928771739404,-5.42455422976299
"MAU2",0.192615916326482,6.8166561609557,1.51347036648835,0.138377990755796,0.312936258850654,-5.42459867535616
"CDKL1",-0.379365714539802,2.98988554962967,-1.51301999041267,0.138492047179837,0.31308447832952,-5.42524429971766
"TMEM43",-0.205981288847694,10.1097296430054,-1.51293822176321,0.138512762924271,0.313097650548705,-5.42536149870623
"NUTM2A",0.242990983196671,6.6805538736454,1.51292524143861,0.138516051663293,0.313097650548705,-5.42538010288747
"IFT80",-0.270475488465953,5.65551985631051,-1.51236905444115,0.138657027839302,0.313300196896758,-5.42617713085611
"DDX60",-0.188605970273057,9.64240742295406,-1.51217548700211,0.138706118130974,0.313370052656357,-5.42645445635215
"SMIM2",-0.543402539856409,2.69607672222739,-1.51171413550572,0.138823176768691,0.313593426625726,-5.42711531140244
"ZNF667",-0.218265762748894,7.36639917644027,-1.51149038088664,0.138879978465868,0.313680643004681,-5.42743576062023
"CASP8",-0.185419345315241,6.20204853696165,-1.51145004804881,0.138890219221795,0.313693500334912,-5.42749351865606
"SLC16A4-AS1",-0.167966225809494,8.01640543639036,-1.51108950385921,0.138981790470354,0.313831238939185,-5.42800976996984
"RABGAP1L-DT",-0.273143530450028,5.06232667948864,-1.51100540451217,0.13900315702724,0.31383552900906,-5.42813017337023
"FOXJ2",-0.137148178928383,10.1143033424513,-1.51016735672556,0.139216217887915,0.314193146195336,-5.42932966609201
"ZNF671",-0.19234056167843,5.05602380382108,-1.50996513060597,0.139267669918295,0.314257850294939,-5.42961902290487
"GRIN2C",0.429571455538304,3.75130816617199,1.50973787121579,0.139325509278604,0.314336943897459,-5.42994415783795
"EPHA4",0.321405569950633,4.15524907012615,1.5096326469341,0.139352296222928,0.314387094648372,-5.43009468519601
"DCAKD",-0.378075624892786,6.51469770320557,-1.50906362544671,0.139497223428146,0.314583829872186,-5.43090853128772
"RTP4",-0.285983344984949,5.35077595752524,-1.50874857611265,0.139577516929065,0.314705708538022,-5.43135901550035
"CALM3",-0.432231038741721,5.29315695076433,-1.5085866498517,0.139618799854434,0.314751540366094,-5.43159051898187
