"","adj.P.Val","P.Value","t","B","logFC"
"CTSH",0.000532,6.7e-05,-4.1038931,0.838943,-0.2201614
"CENTD1",0.000533,6.72e-05,4.1032038,0.836405,0.28448219
"CHEK2",0.000534,6.73e-05,-4.1027489,0.834731,-0.07229086
"SAV1",0.000542,6.83e-05,4.0989514,0.820757,0.17778954
"METTL9",0.000543,6.85e-05,4.0981564,0.817833,0.08437669
"GANAB",0.000544,6.87e-05,-4.0977444,0.816317,-0.24157003
"UBE3C",0.000547,6.9e-05,-4.0963778,0.811292,-0.14329054
"FMO3",0.000548,6.91e-05,4.0959666,0.80978,0.25104022
"SFRS2",0.000548,6.92e-05,-4.095848,0.809345,-0.17678534
"C8ORF55",0.000548,6.92e-05,-4.0957797,0.809093,-0.25621337
"ADO",0.000548,6.92e-05,4.0957105,0.808839,0.2048345
"DBNDD2",0.000549,6.93e-05,-4.0952948,0.807311,-0.24268447
"KIAA0251",0.00055,6.94e-05,-4.0947852,0.805438,-0.10041705
"LYPLA2",0.00055,6.95e-05,-4.094676,0.805037,-0.12999783
"RNASEN",0.000552,6.97e-05,4.0936857,0.801397,0.13996337
"MON1B",0.000554,7e-05,-4.0926405,0.797557,-0.15036344
"C14ORF149",0.000555,7.02e-05,-4.0921752,0.795848,-0.2685362
"LOC85389",0.000556,7.03e-05,-4.0916869,0.794054,-0.12914826
"HS.579631",0.000561,7.09e-05,-4.0892643,0.785157,-0.63143689
"FLJ35429",0.000561,7.1e-05,4.0889728,0.784087,0.17505868
"RGS18",0.000561,7.1e-05,-4.0889543,0.784019,-0.14056142
"REV1",0.000561,7.11e-05,4.0888662,0.783695,0.41780456
"RUFY2",0.000562,7.12e-05,4.0884232,0.782069,0.07365203
"STAM",0.000563,7.13e-05,4.0880712,0.780777,0.28645691
"NDUFV1",0.000563,7.14e-05,-4.0876579,0.77926,-0.20985595
"LOC26010",0.000566,7.18e-05,4.086316,0.774335,0.36752269
"SEMA4A",0.000569,7.21e-05,-4.0850183,0.769574,-0.11848763
"NQO1",0.000569,7.22e-05,-4.0849061,0.769163,-0.19877525
"TOP3A",0.000569,7.22e-05,-4.0848955,0.769124,-0.12823744
"TRIP13",0.00057,7.23e-05,-4.0845514,0.767862,-0.14658895
"LYRM5",0.000573,7.27e-05,4.0829966,0.762159,0.26786384
"C21ORF91",0.000575,7.3e-05,4.0820248,0.758596,0.09797271
"SCAND1",0.000576,7.31e-05,-4.08145,0.756489,-0.16900059
"TCTN1",0.000577,7.33e-05,4.0808408,0.754256,0.1635035
"TTLL4",0.00058,7.36e-05,-4.0796318,0.749824,-0.10939421
"SHANK3",0.000582,7.39e-05,-4.0787894,0.746738,-0.23782525
"ATP5G1",0.000584,7.42e-05,-4.0776325,0.742499,-0.21253448
"LOC730083",0.000584,7.42e-05,4.0775026,0.742024,0.11073181
"ADCY1",0.000585,7.44e-05,-4.0770206,0.740258,-0.16688786
"WDR92",0.00059,7.5e-05,4.0749464,0.732662,0.13640207
"COL9A2",0.000591,7.51e-05,4.0745193,0.731099,0.119973
"SNHG3-RCC1",0.000592,7.53e-05,-4.073859,0.728681,-0.17828224
"SSBP2",0.000594,7.55e-05,4.0731426,0.726059,0.28457945
"JARID1B",0.000595,7.56e-05,4.0727493,0.72462,0.12347013
"DNAL1",0.000595,7.58e-05,4.0722616,0.722835,0.12943231
"ZBTB16",0.000595,7.58e-05,-4.0722048,0.722627,-0.47123515
"EXOC4",0.000595,7.58e-05,4.0721923,0.722581,0.12124713
"AKR1C3",0.000596,7.58e-05,-4.0719939,0.721855,-0.3293815
"PPARGC1A",0.000596,7.6e-05,4.0716264,0.720511,0.28318487
"LDLRAP1",0.000598,7.61e-05,4.071087,0.718537,0.13963794
"LOC645018",0.000598,7.62e-05,-4.070817,0.71755,-0.30144089
"SMCHD1",0.000599,7.63e-05,4.0704847,0.716334,0.11290378
"SLC16A12",0.000599,7.63e-05,-4.0704429,0.716181,-0.22006547
"LOC401284",0.000599,7.63e-05,4.0703374,0.715795,0.11317715
"HS.7413",0.000602,7.67e-05,-4.0690147,0.710957,-0.17201612
"HS.432352",0.000602,7.68e-05,4.0688204,0.710246,0.11723147
"CCDC77",0.000603,7.69e-05,4.0684098,0.708745,0.14799537
"MTX3",0.000603,7.7e-05,4.0682021,0.707986,0.14377368
"ASMTL",0.000604,7.71e-05,4.0678789,0.706804,0.1608943
"VEZT",0.000605,7.72e-05,4.0673404,0.704835,0.23107773
"MLYCD",0.000609,7.77e-05,4.0655583,0.698321,0.28217689
"MMD",0.000609,7.78e-05,-4.0654196,0.697814,-0.26633612
"UGDH",0.00061,7.79e-05,-4.0651838,0.696953,-0.33102844
"HS.407028",0.000611,7.81e-05,4.0643956,0.694073,0.12969376
"PPAPDC3",0.000613,7.83e-05,4.0636704,0.691423,0.38671508
"SCN3B",0.000614,7.84e-05,4.0633457,0.690237,0.11391122
"NUFIP2",0.000614,7.84e-05,-4.0632358,0.689835,-0.16734457
"ELP2",0.000616,7.87e-05,4.0623481,0.686593,0.15012134
"GALE",0.000616,7.87e-05,-4.0622736,0.686321,-0.09892206
"BTG3",0.000617,7.89e-05,-4.06162,0.683934,-0.22213139
"HADH2",0.000618,7.91e-05,-4.0612345,0.682526,-0.15658325
"EDARADD",0.00062,7.93e-05,4.0604975,0.679835,0.11492449
"DNALI1",0.00062,7.93e-05,4.0602697,0.679004,0.14927102
"ARIH1",0.000621,7.95e-05,4.0599222,0.677735,0.1438785
"AMY1A",0.000622,7.96e-05,-4.0594777,0.676113,-0.27743144
"C22ORF30",0.000623,7.98e-05,4.0589257,0.674098,0.10312689
"RPS15",0.000624,7.99e-05,-4.0584236,0.672265,-0.21205294
"KIAA0802",0.000625,8.01e-05,4.0578903,0.670319,0.13391419
